pctl,beta_1,se,B,half
92.07070707070707,1.0798696978814109,0.05052077705829476,1xBet,early
93.06060606060605,1.0785789361530418,0.05131425961387234,1xBet,early
94.05050505050505,1.0772881518442752,0.05211863229264117,1xBet,early
95.04040404040404,1.0759973494533939,0.052933407056224985,1xBet,early
96.03030303030302,1.0747065334197763,0.053758116257466716,1xBet,early
97.02020202020202,1.0734157079108517,0.05459231228360445,1xBet,early
98.010101010101,1.0721248765985332,0.05543556734768026,1xBet,early
99.0,1.0708340424266207,0.05628747342011268,1xBet,early
1.0,0.76971753874659,0.0816805595753687,1xBet,late
1.9898989898989898,0.7682128558586647,0.08061322905017478,1xBet,late
2.9797979797979797,0.7667081712749273,0.07955036966014017,1xBet,late
3.9696969696969697,0.7652034827603144,0.0784921645940275,1xBet,late
4.959595959595959,0.7636987873090219,0.07743880567982162,1xBet,late
5.94949494949495,0.7621940812882537,0.07639049323590567,1xBet,late
6.939393939393939,0.7606893605738966,0.07534743605581605,1xBet,late
7.929292929292929,0.7591846206783094,0.0743098515397576,1xBet,late
8.919191919191919,0.7576798568704262,0.07327796598214156,1xBet,late
9.909090909090908,0.756175064288354,0.07225201501909939,1xBet,late
10.898989898989898,0.7546702380446517,0.07123224423382038,1xBet,late
11.888888888888888,0.753165373324452,0.07021890991123621,1xBet,late
12.878787878787879,0.7516604654765873,0.06921227992756852,1xBet,late
13.868686868686869,0.7501555100978535,0.0682126347550355,1xBet,late
14.85858585858586,0.7486505031105367,0.06722026855796565,1xBet,late
15.848484848484848,0.7471454408332994,0.06623549035396786,1xBet,late
16.838383838383837,0.7456403200455102,0.06525862521281368,1xBet,late
17.82828282828283,0.7441351380450765,0.06429001546633,1xBet,late
18.818181818181817,0.7426298926998193,0.06333002190478085,1xBet,late
19.80808080808081,0.7411245824924114,0.0623790249387181,1xBet,late
20.7979797979798,0.7396192065588864,0.061437425709781564,1xBet,late
21.787878787878785,0.7381137647207038,0.06050564713902747,1xBet,late
22.77777777777778,0.7366082575103552,0.059584134906600736,1xBet,late
23.767676767676768,0.735102686190481,0.05867335836146171,1xBet,late
24.757575757575758,0.7335970527664699,0.05777381136396048,1xBet,late
25.747474747474747,0.732091359992514,0.05688601306689137,1xBet,late
26.737373737373737,0.7305856113711039,0.056010508641903343,1xBet,late
27.727272727272727,0.729079811145957,0.05514786995753084,1xBet,late
28.71717171717172,0.7275739642883978,0.054298696212509746,1xBet,late
29.707070707070706,0.726068076477231,0.05346361452345205,1xBet,late
30.696969696969695,0.7245621540721823,0.052643280459507946,1xBet,late
31.686868686868685,0.7230562040810165,0.05183837850861877,1xBet,late
32.676767676767675,0.7215502341204889,0.05104962245075746,1xBet,late
33.666666666666664,0.7200442523713269,0.05027775560367115,1xBet,late
34.65656565656566,0.7185382675274965,0.049523550896671736,1xBet,late
35.64646464646465,0.7170322887400568,0.048787810718606404,1xBet,late
36.63636363636363,0.7155263255559643,0.048071366477945424,1xBet,late
37.62626262626262,0.7140203878522481,0.047375077806600795,1xBet,late
38.61616161616161,0.7125144857660317,0.046699831335244586,1xBet,late
39.60606060606061,0.7110086296209348,0.04604653896706478,1xBet,late
