Delta,AvgChange,AvgNumChanges,NumMatches,Proportions,Z-statistic,p-value,Bookies
"[0.09, 0.12]",0.10235903905307366,8.248730964467006,197,0.6091370558375635,3.131342049394004,0.0017400936098186381,Interwetten
"[0.12, 0.15]",0.13258323679813788,8.711340206185566,97,0.5567010309278351,1.118322849105768,0.26342913163830595,Interwetten
"[0.15, 1]",0.19457900050421958,10.151515151515152,66,0.6515151515151515,2.563648815209481,0.010357828744465003,Interwetten
"[-1, -0.15]",-0.18706991782349922,12.79611650485437,103,0.33980582524271846,-3.4158245187446536,0.0006358921054649969,Lasbet
"[-0.15, -0.12]",-0.13207974049421287,11.514925373134329,134,0.417910447761194,-1.9194517112433103,0.054927191935517206,Lasbet
"[-0.12, -0.09]",-0.10208470355803792,10.873817034700316,317,0.4605678233438486,-1.4063035440241165,0.15963400821523188,Lasbet
"[-0.09, -0.06]",-0.07274621598089843,9.406576980568012,669,0.45590433482810166,-2.2882824812740146,0.022121076048712274,Lasbet
"[-0.06, -0.03]",-0.04338639708540864,8.363955119214586,1426,0.4579242636746143,-3.187956193079879,0.0014328224207076357,Lasbet
"[-0.03, 0]",-0.014407537526706555,6.808984375,2560,0.494140625,-0.5928519532142575,0.553280235106745,Lasbet
"[0, 0.03]",0.014289190999048108,6.820945945945946,2664,0.5274024024024024,2.8324184598130007,0.004619734705177292,Lasbet
"[0.03, 0.06]",0.043290286599239815,8.338923829489866,1431,0.5625436757512229,4.767667362001347,1.8637115941633198e-06,Lasbet
"[0.06, 0.09]",0.07266048274204043,9.556818181818182,704,0.5525568181818182,2.8025237971467956,0.005070447552925517,Lasbet
"[0.09, 0.12]",0.10224506928469065,10.451505016722408,299,0.5852842809364549,2.9882604405957496,0.002805703561903794,Lasbet
"[0.12, 0.15]",0.13378770523234887,11.36231884057971,138,0.5652173913043478,1.5398551380418364,0.12359566819983625,Lasbet
"[0.15, 1]",0.18873795188488574,13.276190476190477,105,0.6285714285714286,2.7136021011998723,0.006655605482949412,Lasbet
"[-1, -0.15]",-0.1985346100179288,16.033112582781456,151,0.3443708609271523,-4.01138385924365,6.0363870700408384e-05,Marathonbet
