bookie,start_idx,start_value,gamma,std_gamma,J_stat,p_value
Betsafe,9,0.7080725777960455,0.03648341364055138,0.017432613557335466,12.670172414974921,0.47359902154051003
Betsson,0,0.01,0.039007031250000095,0.017538765367353167,14.73621416391162,0.3241085616210357
Betsson,1,0.9507143064099162,0.038969770135422355,0.017538701228949474,14.731103361968794,0.32443886240855047
Betsson,2,0.7319939418114051,0.03900736026953836,0.01753876593254565,14.736213900220992,0.32410857865730985
Betsson,3,0.5986584841970366,0.03902388068374235,0.017538794288480982,14.736203353878311,0.3241092600258738
Betsson,4,0.15601864044243652,0.039024657617013014,0.01753879562085573,14.731094647162658,0.3244394258114966
Betsson,5,0.15599452033620265,0.03901862449888837,0.01753878527219553,14.731092773602922,0.3244395469352219
Betsson,6,0.05808361216819946,0.038995147729817235,0.01753874493930962,14.731092129943795,0.324439588547134
Betsson,7,0.8661761457749352,0.039031851100199445,0.017538807951605433,14.731097792260982,0.3244392224841643
Betsson,8,0.6011150117432088,0.03898809072137736,0.01753873279586254,14.726027692462694,0.32476710430888583
Betsson,9,0.7080725777960455,0.03900190298815068,0.017538756554838997,14.72603630467381,0.3247665471813939
Betway,0,0.01,0.016001562499999997,0.01367924079615614,15.847356534906929,0.2574708985215182
Betway,1,0.9507143064099162,0.01600848772292252,0.013679237596349167,15.847356446502902,0.25747090340928463
Betway,2,0.7319939418114051,0.016013931184885845,0.01367923507987343,15.847356956084795,0.25747087523503515
Betway,3,0.5986584841970366,0.016037061078740176,0.013679224371851427,15.847364805604666,0.2574704412435714
Betway,4,0.15601864044243652,0.016001433267446838,0.0136792408557542,15.84735654439723,0.25747089799680956
Betway,5,0.15599452033620265,0.016038757891061076,0.013679223585320319,15.84736574376886,0.2574703893735227
Betway,6,0.05808361216819946,0.01600419059888421,0.013679239582038314,15.847356404228643,0.25747090574658416
Betway,7,0.8661761457749352,0.016021403868231622,0.013679231622854247,15.847358485757455,0.25747079066104717
Betway,8,0.6011150117432088,0.016026187028781363,0.013679229408899495,15.847359969073084,0.2574707086501096
Betway,9,0.7080725777960455,0.016032545443597647,0.013679226464178726,15.847362550201577,0.25747056594231543
ComeOn,0,0.01,0.03715468750000005,0.014529837188301182,8.304848040003671,0.8231884462864818
ComeOn,1,0.9507143064099162,0.03717717115405252,0.014529717772931786,8.305462026593858,0.8231462557014012
ComeOn,2,0.7319939418114051,0.037177822188656055,0.014529714319969448,8.305462188658499,0.8231462445644435
ComeOn,3,0.5986584841970366,0.037119274147562525,0.014530025919792773,8.306074273985736,0.8231041804422812
ComeOn,4,0.15601864044243652,0.037147367896748246,0.014529876133123823,8.306070349877773,0.8231044501306559
ComeOn,5,0.15599452033620265,0.03714162500309512,0.014529906712344137,8.306070571972734,0.8231044348669551
ComeOn,6,0.05808361216819946,0.03713465702755464,0.01452994384246041,8.30607124165581,0.8231043888423039
ComeOn,7,0.8661761457749352,0.03715691597996487,0.014529825338109412,8.304848131613664,0.8231884399917404
ComeOn,8,0.6011150117432088,0.03716115456355529,0.01452980280746333,8.30484843003344,0.8231884194866048
ComeOn,9,0.7080725777960455,0.037139020391353965,0.014529920588033672,8.30607077094193,0.8231044211925949
Curebet,0,0.01,0.035029296875000046,0.012378521366937742,12.713926772268097,0.4701437118100169
Curebet,1,0.9507143064099162,0.03501929223134616,0.012378516202607746,12.713927679935287,0.470143640235824
Curebet,2,0.7319939418114051,0.035032638526786244,0.01237852309201377,12.71392717001817,0.4701436804453918
Curebet,3,0.5986584841970366,0.035018269335469664,0.012378515674663864,12.713927950131348,0.4701436189294863
Curebet,4,0.15601864044243652,0.03504801062917369,0.012378531028796963,12.713933514885474,0.470143180120313
Curebet,5,0.15599452033620265,0.03504259229110046,0.012378528231140455,12.713930432456909,0.4701434231854664
Curebet,6,0.05808361216819946,0.03499310744023978,0.01237850268969476,12.707042964845847,0.47068666099742573
Curebet,7,0.8661761457749352,0.03505095121147507,0.012378532547365538,12.713935572993707,0.47014301782805024
Curebet,8,0.6011150117432088,0.0350060339709165,0.012378509359768369,12.713933735927446,0.470143162690033
Curebet,9,0.7080725777960455,0.034999114770653206,0.01237850578935617,12.707045039790037,0.47068649730168355
Dafabet,0,0.01,0.07414174804687518,0.024424650094320453,12.559983873687706,0.4823444400544896
Dafabet,1,0.9507143064099162,0.07407436205124357,0.02442815206509762,12.561637109917543,0.48221277446415456
Dafabet,2,0.7319939418114051,0.07413817730506081,0.024424835870350152,12.559983637564574,0.48234445886056665
Dafabet,3,0.5986584841970366,0.07413235620407901,0.024425138676733564,12.55998330904572,0.4823444850255213
Dafabet,4,0.15601864044243652,0.07414232622682922,0.02442462001076871,12.559983914395968,0.4823444368122709
Dafabet,5,0.15599452033620265,0.07413086400167496,0.02442521628932744,12.559983236095228,0.4823444908356792
Dafabet,6,0.05808361216819946,0.07413254246346815,0.02442512898882868,12.559983318474217,0.4823444842745864
Dafabet,7,0.8661761457749352,0.07407645824810406,0.02442804325390261,12.561636945759382,0.48221278753722363
Dafabet,8,0.6011150117432088,0.07409336883943457,0.024427165148939906,12.561635952537461,0.4822128666344727
Dafabet,9,0.7080725777960455,0.07409912107615857,0.024426866336729285,12.561635748907964,0.48221288285092356
GGBET,0,0.01,0.002930468750000005,0.010408181364987721,11.073031939867535,0.6046994571760229
GGBET,1,0.9507143064099162,0.002914115751214782,0.010408182558861735,11.073021843306437,0.604700302935284
